,core,peri,log2fc,pvalue
GCFC2,0.041204864653257,0,0.041204864653257,0.008549222953281
HERC6,0.041217731181066,0,0.041217731181066,0.008264684588143
AL031595.3,0.041246065574986,0,0.041246065574986,0.008222780125539
SEMA3C,0.041248738242507,0,0.041248738242507,0.008197160450118
B3GALNT1,0.041265774822814,0,0.041265774822814,0.008530941919193
ZNF264,0.056752221780675,0.015480022195892,0.041272199584783,0.049501057767027
DSCAM,0.066400534929559,0.025126967644201,0.041273567285358,0.082690491094368
RANGRF,0.071388504820203,0.030099665538901,0.041288839281302,0.094040618074004
IRS2,0.883550517232687,0.842258091665396,0.041292425567291,0.694559043129555
DOC2A,0.047362605271221,0.006063384942715,0.041299220328506,0.020303231268933
KRBOX4,0.048914761154641,0.007613146140267,0.041301615014374,0.029194249909965
ALG12,0.064013173582912,0.022707765201157,0.041305408381755,0.078303796485402
NCOA7,0.12786366581213,0.086556607793041,0.041307058019089,0.262782066146275
FLVCR1,0.04131342642956,0,0.04131342642956,0.008162968844291
ESR1,0.041321624073295,0,0.041321624073295,0.00822000620579
GID8,0.183211259306598,0.141875707543573,0.041335551763024,0.359551509454276
SLU7,0.163468934033002,0.122124440070488,0.041344493962514,0.338883790213359
GMEB2,0.048129996430941,0.006774477317771,0.04135551911317,0.024140975806768
ACAD11,0.046991019431233,0.005628181724173,0.04136283770706,0.018521617744604
SYNM,0.046450808390789,0.00507744937139,0.041373359019399,0.02476313995984
PPFIA4,0.041405323042633,0,0.041405323042633,0.008213390386675
ARG2,0.047583999663612,0.006168094584861,0.041415905078751,0.021003475788376
RNASEH1,0.080889849388506,0.039469371008783,0.041420478379724,0.127068472189757
TNFRSF11A,0.047392819818401,0.005963313077195,0.041429506741206,0.019780945003756
CUL9,0.054874678574257,0.013444769712933,0.041429908861325,0.046176642911307
ZFP14,0.05293827014421,0.011475407785216,0.041462862358994,0.032647104308844
RBM23,0.277993240845947,0.236511559131817,0.04148168171413,0.481106276935335
AC093895.1,0.041490135016471,0,0.041490135016471,0.008173009994985
ZNF576,0.047729239979954,0.006161011928016,0.041568228051938,0.021101019817453
ADSSL1,0.041568709867524,0,0.041568709867524,0.008162402491215
DDX19A,0.052731304282019,0.011129837569443,0.041601466712576,0.031251916198357
GNA11,0.049833327861453,0.008210086919345,0.041623240942108,0.033457190854999
RXYLT1,0.0416264822845,0,0.0416264822845,0.00820674363558
AL033543.1,0.047737432109686,0.006105460669491,0.041631971440195,0.02045212441918
NIPAL2,0.064868892502925,0.023203967299907,0.041664925203019,0.066522348596901
LINC00900,0.041672450006985,0,0.041672450006985,0.008597274423036
TBCCD1,0.059784478321744,0.018096855416396,0.041687622905349,0.054402575756718
NSUN5,0.111942802276662,0.070252301424661,0.041690500852001,0.219786608387933
CDK5RAP2,0.152593680720766,0.110879757903432,0.041713922817334,0.325927073890553
AMER2,0.075984606695726,0.034269844179486,0.04171476251624,0.131658410680458
EID2,0.047562200054599,0.005820064160204,0.041742135894395,0.018904237318108
HIST1H2AJ,0.047727522646613,0.005984761134459,0.041742761512155,0.029213838746254
ANKRD22,0.067961788129305,0.026191585393032,0.041770202736273,0.089716884043334
TANGO2,0.231485675613205,0.189697669157011,0.041788006456194,0.413477478060189
IGHV3-74,0.041801900547575,0,0.041801900547575,0.008161837912098
ADAMDEC1,0.041805339340767,0,0.041805339340767,0.008227425963308
CGRRF1,0.079097587268977,0.037282713598482,0.041814873670494,0.140876174679977
EHD1,0.329112239656537,0.287291299446034,0.041820940210503,0.520983890966702
ENC1,0.060670971044627,0.01885001353392,0.041820957510707,0.058870875575076
ASH2L,0.106322108428488,0.064499407083133,0.041822701345355,0.206174352420962
FUT4,0.041836081430958,0,0.041836081430958,0.008569935730405
CINP,0.080335106927236,0.038492312321517,0.041842794605719,0.138843247383385
MLX,0.317697674686426,0.275853765707743,0.041843908978683,0.496422284289114
TTLL4,0.091167757434533,0.049309343441761,0.041858413992772,0.165515247166932
RBM34,0.053330220358312,0.011462065264887,0.041868155093425,0.032039797030202
TRIM66,0.053260772151792,0.011390898311442,0.04186987384035,0.032358797693203
